 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 39958.00 sec)
0.028	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.031	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.031	                       -	                   -	Blocking app contact
0.051	                       -	                   -	Successfully read encryption key from keychain in 0.022491 seconds
0.248	                       -	                   -	server_show_windows_for_asns start
0.249	                       -	                   -	Allowing apps to contact us
0.256	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.256	                       -	                   -	Still waiting for registration from Finder
0.256	                       -	                   -	Finder was already launched
0.256	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.256	        com.apple.finder	           Launching	
0.283	                       -	                   -	loginwindow launched apps com.apple.finder
0.283	                       -	                   -	Bitmaps Ready (1 apps, 0 windows)
0.284	        com.apple.finder	                   -	Disposing because it has no windows
0.286	        com.apple.finder	            Disposed	
0.286	                       -	                   -	server_show_windows_for_asns end
0.300	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.300	                       -	                   -	Still waiting for registration from Finder
0.301	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.301	                       -	                   -	Still waiting for registration from Finder
0.306	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.307	                       -	                   -	Still waiting for registration from Finder
0.503	        com.apple.finder	                   -	Finder checked in
0.503	                       -	                   -	All started apps have registered (no remaining unregistered apps)
0.504	                       -	                   -	TAL Relaunch - all apps registered as ready
2.286	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.331	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
15.028	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.028	                       -	                   -	Exiting out of boredom
